,Food Index,From,To,Food,index,Thiamin,Zinc,_merge
150,11720311.0,01/01/2009,12/31/2010,"Enfamil ProSobee Lipil, with iron, infant formula, ready-to-feed",,,,left_only
161,11740311.0,01/01/2009,12/31/2010,"Enfamil Nutramigen Lipil, with iron, infant formula, ready-to-feed",,,,left_only
368,14110010.0,01/01/2009,12/31/2010,"Cheese, Cheddar or Colby, low sodium",,,,left_only
378,14201200.0,01/01/2009,12/31/2010,"Cottage cheese, farmer's",,,,left_only
462,21401400.0,01/01/2009,12/31/2010,"Beef, roast, canned",,,,left_only
577,22709110.0,01/01/2009,12/31/2010,"Pork skin, boiled",,,,left_only
592,23150200.0,01/01/2009,12/31/2010,"Goat, fried",,,,left_only
602,23310000.0,01/01/2009,12/31/2010,"Rabbit, NS as to domestic or wild, cooked",,,,left_only
791,25210510.0,01/01/2009,12/31/2010,"Frankfurter or hot dog, low salt",,,,left_only
794,25220010.0,01/01/2009,12/31/2010,"Cold cut, NFS",,,,left_only
803,25220370.0,01/01/2009,12/31/2010,"Bratwurst, beef, cooked",,,,left_only
906,26117160.0,01/01/2009,12/31/2010,"Haddock, steamed or poached",,,,left_only
917,26125160.0,01/01/2009,12/31/2010,"Ocean perch, steamed or poached",,,,left_only
930,26133140.0,01/01/2009,12/31/2010,"Porgy, floured or breaded, fried",,,,left_only
946,26141130.0,01/01/2009,12/31/2010,"Sea bass, breaded or battered, baked",,,,left_only
951,26149140.0,01/01/2009,12/31/2010,"Swordfish, floured or breaded, fried",,,,left_only
970,26203110.0,01/01/2009,12/31/2010,"Frog legs, NS as to cooking method",,,,left_only
1013,26321110.0,01/01/2009,12/31/2010,"Snails, cooked, NS as to cooking method",,,,left_only
1043,27120090.0,01/01/2009,12/31/2010,Ham or pork with (mushroom) soup (mixture),,,,left_only
1094,27150330.0,01/01/2009,12/31/2010,Mussels with tomato-based sauce (mixture),,,,left_only
1095,27150350.0,01/01/2009,12/31/2010,Sardines with tomato-based sauce (mixture),,,,left_only
1149,27242250.0,01/01/2009,12/31/2010,Chicken or turkey and noodles with (mushroom) soup (mixture),,,,left_only
1177,27250210.0,01/01/2009,12/31/2010,Clam cake or patty,,,,left_only
1197,27311220.0,01/01/2009,12/31/2010,"Corned beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)",,,,left_only
1244,27330030.0,01/01/2009,12/31/2010,"Lamb or mutton stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy",,,,left_only
1257,27341040.0,01/01/2009,12/31/2010,"Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)",,,,left_only
1325,27418310.0,01/01/2009,12/31/2010,"Corned beef with tomato sauce and onion, Puerto Rican style (mixture)",,,,left_only
1332,27420200.0,01/01/2009,12/31/2010,"Pork hash, Hawaiian style-ground pork, vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce",,,,left_only
1334,27420270.0,01/01/2009,12/31/2010,"Ham and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), no sauce (mixture)",,,,left_only
1401,27500300.0,01/01/2009,12/31/2010,"Wrap sandwich, filled with meat, poultry, or fish, and vegetables",,,,left_only
1454,27520165.0,01/01/2009,12/31/2010,"Bacon, chicken fillet (breaded, fried), and tomato club with lettuce and spread",,,,left_only
1491,27550720.0,01/01/2009,12/31/2010,Tuna salad sandwich,,,,left_only
1511,27644110.0,01/01/2009,12/31/2010,"Chicken soup, baby food",,,,left_only
1588,28340170.0,01/01/2009,12/31/2010,"Chicken broth, canned, low sodium",,,,left_only
1605,28345030.0,01/01/2009,12/31/2010,"Chicken or turkey soup, cream of, canned, reduced sodium, made with water",,,,left_only
1625,28355430.0,01/01/2009,12/31/2010,"Shrimp soup, cream of, prepared with water",,,,left_only
1686,32105150.0,01/01/2009,12/31/2010,"Egg omelet or scrambled egg, with cheese, beans, tomatoes, and chili sauce",,,,left_only
1727,35002000.0,01/01/2009,12/31/2010,"Scrambled eggs, bacon, home fried potatoes (frozen meal)",,,,left_only
1803,41422010.0,01/01/2009,12/31/2010,Soybean meal,,,,left_only
1818,41440020.0,01/01/2009,12/31/2010,"Ensure with fiber, liquid",,,,left_only
1930,51000400.0,01/01/2009,12/31/2010,"Roll, bran, NS as to type of bran",,,,left_only
1946,51111040.0,01/01/2009,12/31/2010,"Bread, cheese, toasted",,,,left_only
2087,51807000.0,01/01/2009,12/31/2010,Injera (American-style Ethiopian bread),,,,left_only
2211,53120330.0,01/01/2009,12/31/2010,"Cake, white, pudding-type mix (oil, egg whites, and water added to dry mix), without icing",,,,left_only
2233,53204500.0,01/01/2009,12/31/2010,"Cookie, brownie, with cream cheese filling, without icing",,,,left_only
2239,53205250.0,01/01/2009,12/31/2010,"Cookie, butterscotch, brownie",,,,left_only
2279,53231400.0,01/01/2009,12/31/2010,"Cookie, multigrain, high fiber",,,,left_only
2373,53400300.0,01/01/2009,12/31/2010,"Blintz, fruit-filled",,,,left_only
2501,54307000.0,01/01/2009,12/31/2010,"Crackers, matzo",,,,left_only
2644,56201700.0,01/01/2009,12/31/2010,"Cornstarch with milk, eaten as a cereal (2 tbsp cornstarch in 2-1/2 cups milk)",,,,left_only
2767,57212100.0,01/01/2009,12/31/2010,"French Toast Crunch, General Mills",,,,left_only
2795,57241200.0,01/01/2009,12/31/2010,"Honey Nut Shredded Wheat, Post",,,,left_only
2847,57339100.0,01/01/2009,12/31/2010,"Rice Krispies with Real Strawberries, Kellogg's",,,,left_only
2872,57408100.0,01/01/2009,12/31/2010,Uncle Sam Cereal (formerly Uncle Sam's Hi Fiber Cereal),,,,left_only
3044,58106820.0,01/01/2009,12/31/2010,"Pizza with beans and vegetables, thin crust",,,,left_only
3065,58116115.0,01/01/2009,12/31/2010,"Empanada, Mexican turnover, filled with cheese and vegetables",,,,left_only
3079,58123110.0,01/01/2009,12/31/2010,"Sweet bread dough, filled with meat, steamed",,,,left_only
3216,58155810.0,01/01/2009,12/31/2010,"Stewed rice, Puerto Rican style (arroz guisado)",,,,left_only
3292,58304060.0,01/01/2009,12/31/2010,Spaghetti with meat sauce (diet frozen meal),,,,left_only
3375,61213000.0,01/01/2009,12/31/2010,"Tangerine juice, NFS",,,,left_only
3381,62101200.0,01/01/2009,12/31/2010,"Apple, dried, cooked, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",,,,left_only
3384,62108100.0,01/01/2009,12/31/2010,"Currants, dried",,,,left_only
3393,62116230.0,01/01/2009,12/31/2010,"Peach, dried, cooked, with sugar",,,,left_only
3403,62126000.0,01/01/2009,12/31/2010,"Tamarind pulp, dried, sweetened (""Pulpitas"")",,,,left_only
3431,63115130.0,01/01/2009,12/31/2010,"Cherries, sweet, cooked or canned, in heavy syrup",,,,left_only
3443,63126600.0,01/01/2009,12/31/2010,"Lychee, cooked or canned, in sugar or syrup",,,,left_only
3450,63133050.0,01/01/2009,12/31/2010,"Papaya, green, cooked",,,,left_only
3622,67413700.0,01/01/2009,12/31/2010,"Peach yogurt dessert, baby food, strained",,,,left_only
3720,71802010.0,01/01/2009,12/31/2010,Macaroni and potato soup,,,,left_only
3861,73111260.0,01/01/2009,12/31/2010,"Peas and carrots, canned, low sodium, fat added in cooking",,,,left_only
3943,74504020.0,01/01/2009,12/31/2010,"Tomato and okra, cooked, fat added in cooking",,,,left_only
4144,75216182.0,01/01/2009,12/31/2010,"Corn, yellow and white, cooked, from frozen, fat added in cooking",,,,left_only
4245,75231021.0,01/01/2009,12/31/2010,"Snowpea (pea pod), cooked, from fresh, fat added in cooking",,,,left_only
4316,75403023.0,01/01/2009,12/31/2010,"Beans, string, green, cooked, from canned, with mushroom sauce",,,,left_only
4330,75414011.0,01/01/2009,12/31/2010,"Mushrooms, from fresh, creamed",,,,left_only
4334,75415011.0,01/01/2009,12/31/2010,"Onions, from fresh, creamed",,,,left_only
4440,76205060.0,01/01/2009,12/31/2010,"Corn and sweetpotatoes, baby food, strained",,,,left_only
4494,81104510.0,01/01/2009,12/31/2010,"Vegetable oil-butter spread, tub, salted",,,,left_only
4638,91560100.0,01/01/2009,12/31/2010,Haupia (coconut pudding),,,,left_only
4858,92512050.0,01/01/2009,12/31/2010,"Frozen daiquiri mix, from frozen concentrate, reconstituted",,,,left_only
4936,93301310.0,01/01/2009,12/31/2010,Mai Tai,,,,left_only
4968,,,,"Bratwurst, beef, cooked_x000D_
",794.0,0.000459,0.00325,right_only
4969,,,,"Empanada, Mexican turnover, filled with cheese and vegetables_x000D_
",3012.0,0.000237,0.00074,right_only
